position,title,year,duration,rating_value,rating_count,critic_rating_value,critic_count,directors,screenwriters,production_countries,world_premiere,polish_premiere,boxoffice,boxoffice_usa,boxoffice_outside_usa,budget,genres
178,Rocky,1976,1h 59m,"7,7",203671,"7,8",54,['John G. Avildsen'],['Sylvester Stallone'],['USA'],20.11.1976,,$117 250 402 ,$117 235 147 ,$15 255 ,$960 000,"['Dramat', 'Sportowy']"
179,Wołyń,2016,2h 30m,"7,8",162712,"7,3",70,['Wojciech Smarzowski'],['Wojciech Smarzowski'],['Polska'],23.09.2016,07.10.2016,$6 960 645 ,$6 960 645 ,,,"['Dramat', 'Wojenny']"
180,The Graduate,1967,1h 45m,"7,9",85044,"8,2",75,['Mike Nichols'],"['Buck Henry', 'Calder Willingham']",['USA'],20.12.1967,31.12.1990,$105 015 008 ,$104 945 305 ,$69 703 ,$3 000 000,['Dramat obyczajowy']
181,C'era una volta il West,1968,2h 45m,"8,0",51332,"9,0",41,['Sergio Leone'],"['Sergio Leone', 'Sergio Donati']","['USA', 'Włochy']",20.12.1968,,$5 435 024 ,$5 321 508 ,$113 516 ,$5 000 000,['Western']
182,Raiders of the Lost Ark,1981,1h 55m,"7,7",280322,"8,1",74,['Steven Spielberg'],['Lawrence Kasdan'],['USA'],12.06.1981,,$389 925 971 ,$248 159 971 ,$141 766 000 ,$18 000 000,['Przygodowy']
183,Warrior,2011,2h 20m,"7,8",99433,"7,0",34,"[""Gavin O'Connor""]","[""Gavin O'Connor"", 'Anthony Tambakis']",['USA'],09.09.2011,09.02.2012,$23 308 615 ,$13 657 115 ,$9 651 500 ,$25 000 000,"['Dramat', 'Sportowy']"
184,Pirates of the Caribbean: At World's End,2007,2h 49m,"7,7",397692,"6,4",52,['Gore Verbinski'],"['Ted Elliott', 'Terry Rossio']",['USA'],19.05.2007,25.05.2007,$960 996 492 ,$309 420 425 ,$651 576 067 ,$300 000 000,"['Fantasy', 'Przygodowy']"
185,In the Name of the Father,1993,2h 13m,"8,0",53049,"7,9",32,['Jim Sheridan'],"['Jim Sheridan', 'Terry George']","['Irlandia', 'Wielka Brytania']",12.12.1993,25.03.1994,$65 796 862 ,$25 096 862 ,$40 700 000 ,$13 000 000,"['Biograficzny', 'Dramat obyczajowy']"
186,The Curious Case of Benjamin Button,2008,2h 46m,"7,7",516178,"6,5",82,['David Fincher'],"['Eric Roth', 'Robin Swicord']",['USA'],10.12.2008,06.02.2009,$335 802 786 ,$127 509 326 ,$208 293 460 ,$150 000 000,"['Fantasy', 'Melodramat']"
187,Der Name der Rose,1986,2h 10m,"7,7",177090,"7,3",50,['Jean-Jacques Annaud'],"['Jean-Jacques Annaud', 'Howard Franklin']","['Francja', 'Włochy', 'RFN']",28.05.1985,31.12.1986,$77 153 487 ,$7 153 487 ,$70 000 000 ,$17 000 000,['Kryminał']
188,Dances with Wolves,1990,3h 1m,"7,8",118035,"7,1",32,['Kevin Costner'],['Michael Blake'],"['USA', 'Wielka Brytania']",19.10.1990,31.12.1990,$424 208 848 ,$184 208 848 ,$240 000 000 ,$22 000 000,['Western']
189,Donnie Brasco,1997,2h 7m,"7,8",142292,"7,3",40,['Mike Newell'],['Paul Attanasio'],['USA'],24.02.1997,09.05.1997,$124 909 762 ,$41 909 762 ,$83 000 000 ,$35 000 000,"['Biograficzny', 'Gangsterski']"
190,Indiana Jones and the Last Crusade,1989,2h 7m,"7,7",254038,"8,2",59,['Steven Spielberg'],['Jeffrey Boam'],['USA'],24.05.1989,31.12.1990,$474 171 806 ,$197 171 806 ,$277 000 000 ,$48 000 000,['Przygodowy']
191,Dług,1999,1h 37m,"7,8",154104,"8,1",59,['Krzysztof Krauze'],"['Krzysztof Krauze', 'Jerzy Morawski']",['Polska'],19.11.1999,,,,,,"['Dramat', 'Psychologiczny']"
